horizon,permanent_irf,transitory_irf,longrun_effect
0,3.5323309517676096,3.5323309517676096,71.4293356103708
1,10.06461138717604,6.53228043540843,71.4293356103708
2,15.892096210843095,5.827484823667055,71.4293356103708
3,21.562782372930556,5.670686162087463,71.4293356103708
4,23.801658627911316,2.2388762549807595,71.4293356103708
5,28.501348199984143,4.699689572072829,71.4293356103708
6,31.3466733009165,2.8453251009323557,71.4293356103708
7,34.743117428084595,3.3964441271680976,71.4293356103708
8,36.84978872675936,2.1066712986747653,71.4293356103708
9,39.169353328201694,2.3195646014423392,71.4293356103708
10,43.31494697926461,4.145593651062915,71.4293356103708
11,49.37888847731371,6.063941498049097,71.4293356103708
12,51.4984527934553,2.119564316141588,71.4293356103708
13,53.5676055192802,2.0691527258249023,71.4293356103708
14,55.537076353501725,1.9694708342215266,71.4293356103708
15,58.03377470940394,2.4966983559022196,71.4293356103708
16,59.07798758922171,1.0442128798177706,71.4293356103708
17,62.07361368787405,2.9956260986523358,71.4293356103708
18,62.31516825008508,0.24155456221102511,71.4293356103708
19,63.3060173568837,0.9908491067986176,71.4293356103708
20,65.99405384293283,2.6880364860491337,71.4293356103708
21,68.02064108160751,2.026587238674676,71.4293356103708
22,69.09738703403511,1.076745952427599,71.4293356103708
23,70.84193963053376,1.7445525964986495,71.4293356103708
24,70.91211449558512,0.07017486505136361,71.4293356103708
25,71.4293356103708,0.5172211147856798,71.4293356103708
