horizon,coef,se
-10.0,2.2127621203816457,8.146641004207194
-9.0,3.8654918079667535,7.799916386631047
-8.0,1.78380992292795,7.162150532510567
-7.0,-0.5261922355835834,6.170966731535516
-6.0,-1.4461047245727712,4.76934711566474
-5.0,-0.11235551175023754,2.04976064660271
-4.0,-3.7829989293574084e-15,1.6884022680855417e-14
-3.0,6.956876183641963e-16,1.1933946921638502e-15
-2.0,-2.450811968743127e-15,6.781272011941133e-15
-1.0,-1.8911551978161177e-15,1.492058540894049e-14
0.0,15.551103846307072,3.017998554707105
1.0,24.65433490698501,5.874712305419942
2.0,25.00116927554015,7.50818697725535
3.0,28.887574874601512,8.474321658658704
4.0,24.380330743224366,9.437157373232548
5.0,18.84311534859744,10.15053776038871
6.0,19.67458016677098,10.326140732999939
7.0,24.877980468676228,10.447051026242036
8.0,28.69179666280513,9.456692423667574
9.0,24.032617370242587,9.37375550826834
10.0,23.840509969278834,10.685006982505344
11.0,25.07123048760307,12.296314943643003
12.0,20.506973562710073,12.610961468250016
13.0,15.85616882082657,11.747269169069915
14.0,15.358337942325933,12.125363264403914
15.0,17.449785798751638,11.790582317870163
16.0,19.052765632249372,12.262926417461713
17.0,15.605784658635507,12.338441306857122
18.0,12.24755798679774,14.018819364370245
19.0,6.482369479105684,14.592304114948067
20.0,3.9408830569696645,14.554889311338236
21.0,1.8327579678524455,15.124262378100218
22.0,-14.745531456349735,16.260228864927218
23.0,-17.483486456370898,20.042551959375245
24.0,-8.472975855079364,14.373532823466974
25.0,2.3205241394695677,12.178021266508392
