horizon,coef,se,ci_lo,ci_hi,spec
0,3.296978,2.4010344,-1.4090493,8.003005,1
0,4.0458221,2.7043486,-1.2547009,9.3463449,2
1,11.061147,3.4784682,4.2433486,17.878944,1
1,9.9200983,4.1637182,1.7592111,18.080986,2
2,11.681475,4.0307097,3.7812836,19.581667,1
2,19.811508,5.860827,8.3242874,31.298731,2
3,15.009629,5.061821,5.08846,24.930798,1
3,25.128475,6.9667363,11.473673,38.783279,2
4,17.04236,5.788662,5.6965833,28.388138,1
4,23.371256,8.163372,7.371047,39.371464,2
5,24.325674,6.9528522,10.698083,37.953262,1
5,20.093885,7.4533153,5.4853868,34.702381,2
6,26.372347,8.0115509,10.669707,42.074986,1
6,17.986797,7.3127446,3.6538169,32.319775,2
7,29.3745,8.2910671,13.124009,45.624992,1
7,15.252915,8.2809877,-.9778204,31.483652,2
8,27.923605,8.1336269,11.981696,43.865513,1
8,14.309422,8.5888205,-2.5246661,31.143509,2
9,26.26123,7.8749905,10.826249,41.696213,1
9,13.697663,9.1016979,-4.1416659,31.536991,2
10,26.886446,7.93505,11.333748,42.439144,1
10,15.064118,9.2350807,-3.0366399,33.164879,2
11,32.225628,8.0851097,16.378811,48.072441,1
11,15.958353,9.5261145,-2.7128322,34.629536,2
12,31.078157,8.5358257,14.347939,47.808376,1
12,14.656944,9.2600012,-3.4926591,32.806545,2
13,29.456978,8.7155161,12.374566,46.539391,1
13,12.561716,8.4359503,-3.9727473,29.09618,2
14,26.26952,8.6976261,9.2221727,43.316868,1
14,12.019677,7.7111163,-3.0941103,27.133465,2
15,29.671494,9.0551472,11.923405,47.419582,1
15,6.6386099,7.5026774,-8.066638,21.343857,2
16,25.99791,9.7356367,6.9160619,45.079758,1
16,4.8587976,7.5785861,-9.9952316,19.712826,2
17,23.653439,9.9032135,4.2431412,43.063736,1
17,5.8597927,7.6584697,-9.1508083,20.870394,2
18,24.320837,10.293491,4.1455941,44.496082,1
18,-.64847296,7.8427873,-16.020336,14.723391,2
19,21.500729,10.195663,1.5172276,41.48423,1
19,-2.0847573,7.2491393,-16.29307,12.123556,2
20,20.381784,10.147802,.49209139,40.271477,1
20,-.75525582,7.6417432,-15.733072,14.22256,2
21,18.189224,9.8042297,-1.0270672,37.405514,1
21,.68683022,8.132391,-15.252655,16.626316,2
22,16.069002,9.7030525,-2.9489801,35.086987,1
22,.43019971,8.2308531,-15.702271,16.562672,2
23,9.9163914,9.3693151,-8.4474659,28.280251,1
23,5.0621128,8.9713011,-12.521638,22.645863,2
24,7.8806963,8.7386093,-9.2469778,25.008371,1
24,2.7487199,9.5096302,-15.890155,21.387594,2
25,7.2974482,8.4635792,-9.2911673,23.886063,1
25,.28753132,9.5321188,-18.395422,18.970486,2
